Date,Last Price
3/31/1997,351.25
4/30/1997,339.5
5/30/1997,344.65
6/30/1997,333.95
7/31/1997,324.55
8/29/1997,324.15
9/30/1997,334.45
10/31/1997,311.45
11/28/1997,297
12/31/1997,289.05
1/30/1998,302.45
2/27/1998,299.15
3/31/1998,300.95
4/30/1998,306.65
5/29/1998,292.95
6/30/1998,296.95
7/31/1998,286.45
8/31/1998,275.55
9/30/1998,296.95
10/30/1998,292.55
11/30/1998,293.2
12/31/1998,288.25
1/29/1999,286.15
2/26/1999,287.05
3/31/1999,280.05
4/30/1999,286.55
5/31/1999,270.35
6/30/1999,262.5
7/30/1999,255.95
8/31/1999,255.68
9/30/1999,298.75
10/29/1999,299.2
11/30/1999,290.7
12/31/1999,288
1/31/2000,283.5
2/29/2000,292.2
3/31/2000,279.08
4/28/2000,273.55
5/31/2000,272.1
6/30/2000,289.53
7/31/2000,277.25
8/31/2000,277.85
9/29/2000,274.25
10/31/2000,265.15
11/30/2000,270.45
12/29/2000,272.25
1/31/2001,265.85
2/28/2001,267.15
3/30/2001,257.95
4/30/2001,264.05
5/31/2001,265.85
6/29/2001,270.85
7/31/2001,266.65
8/31/2001,274.4
9/28/2001,293.25
10/31/2001,279.65
11/30/2001,274.4
12/31/2001,278.95
1/31/2002,282.55
2/28/2002,296.55
3/29/2002,302.65
4/30/2002,308.45
5/31/2002,326.55
6/28/2002,314.45
7/31/2002,303.55
8/30/2002,312.75
9/30/2002,323.55
10/31/2002,317.75
11/29/2002,318.15
12/31/2002,348.05
1/31/2003,368.15
2/28/2003,349.95
3/31/2003,337.45
4/30/2003,338.55
5/30/2003,364.45
6/30/2003,346.4
7/31/2003,354.35
8/29/2003,375.55
9/30/2003,385.35
10/31/2003,384.25
11/28/2003,398.15
12/31/2003,415.45
1/30/2004,402.45
2/27/2004,396.15
3/31/2004,426.45
4/30/2004,386.75
5/31/2004,395.55
6/30/2004,394.25
7/30/2004,391.05
8/31/2004,409.85
9/30/2004,418.25
10/29/2004,428.55
11/30/2004,450.95
12/31/2004,438.45
1/31/2005,422.6
2/28/2005,435.65
3/31/2005,428.35
4/29/2005,434.4
5/31/2005,417.25
6/30/2005,435.5
7/29/2005,429.8
8/31/2005,435.2
9/30/2005,469.3
10/31/2005,465.19
11/30/2005,493.08
12/30/2005,517
1/31/2006,568.9
2/28/2006,561.55
3/31/2006,583.65
4/28/2006,654.43
5/31/2006,645.2
6/30/2006,615.85
7/31/2006,636.75
8/31/2006,627.3
9/29/2006,598.3
10/31/2006,606.6
11/30/2006,648
12/29/2006,636.7
1/31/2007,653.2
2/28/2007,669.35
3/30/2007,663.8
4/30/2007,678.45
5/31/2007,660.5
6/29/2007,649.65
7/31/2007,664.3
8/31/2007,673.3
9/28/2007,743.6
10/31/2007,796.8
11/30/2007,783.55
12/31/2007,833.7
1/31/2008,926.1
2/29/2008,973.9
3/31/2008,916.9
4/30/2008,877.55
5/30/2008,886.5
6/30/2008,925.4
7/31/2008,914.1
8/29/2008,831.15
9/30/2008,870.95
10/31/2008,723.85
11/28/2008,818.05
12/31/2008,882.05
1/30/2009,927.85
2/27/2009,942.32
3/31/2009,919.35
4/30/2009,888.2
5/29/2009,979.18
6/30/2009,926.5
7/31/2009,954
8/31/2009,951.19
9/30/2009,1007.7
10/30/2009,1045.45
11/30/2009,1179.63
12/31/2009,1096.98
1/29/2010,1081.2
2/26/2010,1117.59
3/31/2010,1113.25
4/30/2010,1179.03
5/31/2010,1216.3
6/30/2010,1242.38
7/30/2010,1181
8/31/2010,1247.4
9/30/2010,1308.54
10/29/2010,1359.4
11/30/2010,1386.23
12/31/2010,1421.4
1/31/2011,1332.68
2/28/2011,1411.33
3/31/2011,1432.2
4/29/2011,1563.7
5/31/2011,1535.73
6/30/2011,1500.18
7/29/2011,1627.05
8/31/2011,1825.55
9/30/2011,1623.79
10/31/2011,1714.7
11/30/2011,1746.35
12/30/2011,1564.91
1/31/2012,1737.76
2/29/2012,1696.76
3/30/2012,1668.15
4/30/2012,1664.75
5/31/2012,1560.51
6/29/2012,1597.45
7/31/2012,1614.58
8/31/2012,1691.85
9/28/2012,1772.25
10/31/2012,1720.65
11/30/2012,1714.98
12/31/2012,1675.35
1/31/2013,1663.7
2/28/2013,1579.61
3/29/2013,1597.5
4/30/2013,1476.71
5/31/2013,1387.8
6/28/2013,1234.53
7/31/2013,1325.07
8/30/2013,1395.27
9/30/2013,1329.03
10/31/2013,1323.06
11/29/2013,1253.35
12/31/2013,1201.64
1/31/2014,1244.55
2/28/2014,1326.39
3/31/2014,1284.01
4/30/2014,1291.6
5/30/2014,1249.68
6/30/2014,1327.33
7/31/2014,1282.59
8/29/2014,1287.32
9/30/2014,1208.15
10/31/2014,1172.94
11/28/2014,1167.38
12/31/2014,1184.37
1/30/2015,1283.79
2/27/2015,1213.18
3/31/2015,1183.57
4/30/2015,1184.37
5/29/2015,1190.58
6/30/2015,1172.35
7/31/2015,1095.8
8/31/2015,1134.93
9/30/2015,1115.09
10/30/2015,1142.11
11/30/2015,1064.77
12/31/2015,1061.1
1/29/2016,1118.21
2/29/2016,1238.67
3/31/2016,1232.75
4/29/2016,1293.53
5/31/2016,1215.32
6/30/2016,1321.9
7/29/2016,1351.28
8/31/2016,1308.97
9/30/2016,1315.87
10/31/2016,1277.21
11/30/2016,1173.2
12/30/2016,1147.5
1/31/2017,1210.72
2/28/2017,1248.44
3/31/2017,1249.2
4/28/2017,1268.28
5/31/2017,1268.92
6/30/2017,1241.61
7/31/2017,1269.44
8/31/2017,1321.43
9/29/2017,1279.75
10/31/2017,1271.45
11/30/2017,1275.01
12/29/2017,1302.8
1/31/2018,1345.14
2/28/2018,1318.31
3/30/2018,1325.48
4/30/2018,1315.39
5/31/2018,1298.51
6/29/2018,1252.6
7/31/2018,1224.15
8/31/2018,1201.15
9/28/2018,1190.88
10/31/2018,1214.76
11/30/2018,1220.52
12/31/2018,1282.49
1/31/2019,1321.25
2/28/2019,1313.32
3/29/2019,1292.38
4/30/2019,1283.53
5/31/2019,1305.58
6/28/2019,1409.55
7/31/2019,1413.78
8/30/2019,1520.38
9/30/2019,1472.49
10/31/2019,1512.99
11/29/2019,1463.98
12/31/2019,1517.27
1/31/2020,1589.16
2/28/2020,1585.69
3/31/2020,1577.18
4/30/2020,1686.5
5/29/2020,1730.27
6/30/2020,1780.96
7/31/2020,1975.86
8/31/2020,1967.8
9/30/2020,1885.82
10/30/2020,1878.81
11/30/2020,1776.95
12/11/2020,1839.85
